journal	journal_abbrev	articles	publication_days_mean	publication_days_median	publication_days_max	publication_days_min	publication_days_geq_100	acceptance_days_mean	acceptance_days_median	acceptance_days_max	acceptance_days_min	total_articles
Immunity, inflammation and disease	Immun Inflamm Dis	42	68.1666666666667	62	159	31	0.119047619047619	72.5952380952381	69.5	146	2	50
Immunobiology	Immunobiology	225	10.92	9	68	1	0	109.435555555556	88	427	1	234
Immunogenetics	Immunogenetics	95	17.9684210526316	16	48	6	0	73.3578947368421	59	253	1	98
Immunology	Immunology	64	15.796875	6.5	106	2	0.03125	115.671875	104.5	373	22	270
Immunology and cell biology	Immunol Cell Biol	164	38.6707317073171	36	86	4	0	106.573170731707	77	756	6	203
Immunology letters	Immunol Lett	246	12.9756097560976	9	132	5	0.0040650406504065	80.6585365853659	69.5	497	1	267
Implementation science : IS	Implement Sci	274	19.992700729927	15	160	2	0.0109489051094891	137.755474452555	128.5	557	5	276
In silico pharmacology	In Silico Pharmacol	5	22.8	13	63	9	0	45.8	12	161	1	7
In vitro cellular & developmental biology. Animal	In Vitro Cell Dev Biol Anim	180	45.7388888888889	33.5	447	6	0.0555555555555556	100.177777777778	92	292	23	194
In vitro cellular & developmental biology. Plant : journal of the Tissue Culture Association	In Vitro Cell Dev Biol Plant	7	38.4285714285714	39	74	17	0	279.285714285714	228	562	148	7
Indian heart journal	Indian Heart J	191	32.0418848167539	26	138	10	0.00523560209424084	192.099476439791	196	874	1	241
Indian journal of clinical biochemistry : IJCB	Indian J Clin Biochem	220	26.3545454545455	19	491	7	0.00909090909090909	92.8681818181818	83.5	827	2	230
Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology	Indian J Gastroenterol	87	45.1034482758621	32	273	13	0.0574712643678161	141.816091954023	142	280	1	137
Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion	Indian J Hematol Blood Transfus	332	25.6957831325301	21	297	6	0.00903614457831325	186.201807228916	142	731	9	334
Indian journal of microbiology	Indian J Microbiol	180	14.2555555555556	12	103	5	0.00555555555555556	108.422222222222	89.5	446	1	197
Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India	Indian J Otolaryngol Head Neck Surg	434	24.6175115207373	14	302	4	0.0483870967741935	148.930875576037	88	641	1	435
Indian journal of pediatrics	Indian J Pediatr	463	36.6695464362851	33	121	9	0.00863930885529158	145.727861771058	134	616	1	487
